Order ID,Order Date,Product ID,Product Category,Buyer Gender,Buyer Age,Order Location,International Shipping,Sales Price,Shipping Charges,Sales per Unit,Quantity,Total Sales,Rating,Review
189440,21/07/2024,BF1543,Clothing,Male,30,New Jersey,No,100,0,100,1,100,4,The delivery team handled the product with care.
187385,20/07/2024,BF1543,Clothing,Male,32,Las Vegas,No,100,0,100,1,100,3,Had slight delays but the product was in good shape.
181844,21/07/2024,BF1544,Other,Female,26,Cardiff,Yes,9,40,49,1,49,2,Waste of Money.
197934,19/08/2024,BF1544,Other,Male,28,Pittsburgh,No,9,0,9,2,18,3,Had slight delays but the product was in good shape.
122470,06/01/2024,BF1545,Other,Female,19,Miami,No,10,0,10,3,30,5,Lack of delivery delays is greatly appreciated.
199680,01/06/2024,BF1546,Clothing,Male,29,Sydney,Yes,118,100,218,1,218,1,The product had an underwhelming design.
130929,06/03/2024,BF1547,Ornaments,Male,32,Memphis,No,32,0,32,3,96,4,Premium quality as usual.
164427,16/04/2024,BF1547,Ornaments,Male,26,Miami,No,32,0,32,2,64,3,Not as expected.
149510,22/05/2024,BF1545,Other,Female,26,New York,No,10,0,10,1,10,4,Lack of delivery delays is greatly appreciated.
176280,27/02/2024,BF1548,Clothing,Male,20,Sydney,Yes,65,100,165,1,165,4,Great design is one of the major positives of this product.
196659,05/11/2023,BF1546,Clothing,Female,34,Montreal,Yes,118,25,143,1,143,5,The product was delivered quickly.
146245,24/09/2024,BF1548,Clothing,Male,21,Sacramento,No,65,0,65,1,65,1,There is clear evidence of subpar detailing.
150560,04/10/2024,BF1546,Clothing,Male,29,Las Vegas,No,118,0,118,3,354,5,The product was delivered quickly.
138348,26/01/2024,BF1549,Clothing,Male,26,New Jersey,No,130,0,130,2,260,2,The product had an underwhelming design.
138790,13/05/2024,BF1547,Ornaments,Male,24,Montreal,Yes,32,25,57,2,114,3,Average product
170025,03/12/2023,BF1550,Clothing,Male,34,Paris,Yes,97,50,147,1,147,5,Exquisite craftsmanship here is absolutely appreciated.
168520,23/09/2024,BF1551,Ornaments,Female,31,San Antonio,No,15,0,15,3,45,2,"Unfortunately, the delivery was late."
165261,13/12/2023,BF1548,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,5,The delivery team handled the product with care.
182299,26/03/2024,BF1545,Other,Female,25,Cleveland,No,10,0,10,1,10,5,The Product exhibits good design.
165196,31/08/2024,BF1548,Clothing,Male,20,London,Yes,65,40,105,2,210,2,The product is not as advertised.
153554,01/09/2024,BF1550,Clothing,Male,23,Cleveland,No,97,0,97,1,97,1,Waste of Money.
131552,30/11/2023,BF1548,Clothing,Male,26,Portland,No,65,0,65,1,65,4,The product was affordable here compared to other brands.
146178,04/06/2024,BF1545,Other,Female,18,Detroit,No,10,0,10,2,20,3,Had slight delays but the product was in good shape.
138795,02/06/2024,BF1546,Clothing,Female,19,New Jersey,No,118,0,118,3,354,1,Never buying from here again.
